Run,RandomNumber
1,55
2,98
3,37
4,15
5,16
6,11
7,19
8,56
9,53
10,99
11,48
12,3
13,54
14,64
15,74
16,48
17,76
18,75
19,10
20,45
21,1
22,19
23,85
24,77
25,28
26,85
27,83
28,16
29,18
30,48
31,49
32,97
33,79
34,72
35,51
36,70
37,73
38,55
39,39
40,64
41,11
42,93
43,89
44,58
45,48
46,71
47,16
48,57
49,62
50,20
51,65
52,1
53,5
54,78
55,7
56,50
57,76
58,36
59,14
60,19
61,44
62,21
63,17
64,1
65,70
66,6
67,24
68,10
69,67
70,50
71,69
72,36
73,15
74,65
75,92
76,16
77,63
78,6
79,3
80,56
81,40
82,47
83,56
84,64
85,15
86,62
87,32
88,7
89,86
90,42
91,38
92,24
93,31
94,76
95,25
96,46
97,57
98,67
99,18
100,41
101,80
102,68
103,63
104,34
105,57
106,20
107,20
108,46
109,54
110,49
111,82
112,48
113,50
114,25
115,37
116,40
117,26
118,76
119,10
120,48
121,68
122,45
123,24
124,71
125,2
126,62
127,90
128,50
129,75
130,13
131,58
132,19
133,20
134,61
135,49
136,55
137,8
138,47
139,96
140,8
141,1
142,78
143,23
144,75
145,46
146,77
147,84
148,74
149,53
150,89
151,80
152,10
153,45
154,8
155,42
156,28
157,99
158,73
159,88
160,5
161,27
162,6
163,65
164,85
165,36
166,19
167,53
168,95
169,32
170,56
171,29
172,24
173,32
174,63
175,2
176,36
177,89
178,55
179,68
180,41
181,90
182,4
183,54
184,82
185,29
186,13
187,15
188,46
189,60
190,43
191,56
192,34
193,88
194,48
195,22
196,89
197,74
198,32
199,51
200,17
201,3
202,61
203,89
204,23
205,6
206,59
207,32
208,56
209,66
210,83
211,40
212,77
213,86
214,75
215,12
216,41
217,56
218,31
219,15
220,40
221,60
222,61
223,42
224,73
225,50
226,62
227,70
228,56
229,32
230,86
231,16
232,96
233,41
234,97
235,79
236,8
237,100
238,91
239,3
240,6
241,63
242,27
243,56
244,83
245,38
246,79
247,12
248,8
249,79
250,71
251,86
252,96
253,5
254,51
255,90
256,80
257,89
258,20
259,40
260,75
261,5
262,59
263,28
264,14
265,54
266,73
267,88
268,95
269,12
270,84
271,87
272,65
273,51
274,42
275,13
276,9
277,42
278,94
279,4
280,79
281,25
282,15
283,43
284,4
285,42
286,58
287,72
288,77
289,87
290,7
291,21
292,77
293,57
294,15
295,8
296,1
297,43
298,3
299,100
300,64
301,33
302,10
303,36
304,95
305,14
306,91
307,43
308,83
309,9
310,67
311,99
312,81
313,65
314,74
315,96
316,13
317,32
318,39
319,30
320,84
321,11
322,86
323,85
324,13
325,61
326,33
327,20
328,87
329,47
330,60
331,44
332,24
333,44
334,55
335,61
336,61
337,70
338,89
339,1
340,22
341,19
342,2
343,13
344,26
345,43
346,27
347,53
348,72
349,39
350,10
351,30
352,87
353,52
354,27
355,87
356,12
357,96
358,81
359,80
360,82
361,3
362,27
363,88
364,71
365,46
366,92
367,83
368,34
369,42
370,53
371,70
372,34
373,34
374,21
375,36
376,82
377,48
378,35
379,55
380,62
381,52
382,73
383,83
384,20
385,100
386,35
387,6
388,75
389,10
390,12
391,25
392,24
393,91
394,98
395,10
396,6
397,36
398,46
399,51
400,52
401,7
402,76
403,84
404,52
405,77
406,52
407,13
408,21
409,80
410,37
411,90
412,22
413,64
414,25
415,79
416,20
417,34
418,34
419,58
420,84
421,86
422,43
423,87
424,31
425,43
426,14
427,44
428,73
429,45
430,42
431,18
432,1
433,47
434,61
435,89
436,57
437,28
438,49
439,67
440,93
441,33
442,63
443,17
444,7
445,87
446,36
447,96
448,1
449,11
450,16
451,97
452,90
453,2
454,33
455,1
456,15
457,2
458,73
459,80
460,80
461,13
462,91
463,10
464,55
465,50
466,99
467,82
468,65
469,14
470,84
471,28
472,10
473,56
474,54
475,89
476,20
477,96
478,57
479,63
480,62
481,3
482,78
483,37
484,58
485,52
486,39
487,56
488,44
489,93
490,18
491,19
492,81
493,30
494,21
495,86
496,82
497,71
498,90
499,47
500,87
501,99
502,45
503,59
504,45
505,9
506,79
507,81
508,90
509,65
510,58
511,14
512,69
513,29
514,59
515,33
516,80
517,100
518,98
519,75
520,31
521,61
522,97
523,14
524,89
525,24
526,78
527,77
528,69
529,84
530,22
531,73
532,53
533,22
534,25
535,63
536,75
537,71
538,5
539,69
540,86
541,22
542,49
543,21
544,100
545,100
546,59
547,20
548,75
549,71
550,82
551,83
552,6
553,28
554,79
555,30
556,46
557,56
558,49
559,99
560,52
561,47
562,27
563,56
564,12
565,4
566,26
567,71
568,59
569,66
570,29
571,94
572,90
573,13
574,86
575,77
576,6
577,98
578,88
579,92
580,22
581,87
582,88
583,59
584,3
585,19
586,50
587,77
588,11
589,87
590,21
591,24
592,22
593,79
594,100
595,20
596,45
597,5
598,17
599,47
600,92
601,45
602,72
603,81
604,9
605,5
606,63
607,30
608,89
609,6
610,99
611,59
612,69
613,13
614,40
615,94
616,36
617,60
618,76
619,39
620,17
621,1
622,63
623,5
624,29
625,29
626,17
627,13
628,64
629,29
630,43
631,60
632,54
633,46
634,86
635,33
636,13
637,32
638,24
639,34
640,18
641,35
642,20
643,52
644,89
645,71
646,68
647,64
648,49
649,30
650,86
651,5
652,42
653,77
654,43
655,61
656,74
657,4
658,3
659,96
660,50
661,69
662,92
663,66
664,6
665,81
666,51
667,79
668,68
669,71
670,96
671,40
672,93
673,60
674,67
675,25
676,40
677,13
678,2
679,37
680,42
681,54
682,9
683,47
684,39
685,63
686,88
687,93
688,61
689,29
690,52
691,93
692,74
693,9
694,5
695,25
696,53
697,81
698,84
699,26
700,82
701,10
702,30
703,35
704,1
705,79
706,74
707,76
708,20
709,14
710,40
711,83
712,17
713,12
714,83
715,97
716,35
717,11
718,63
719,94
720,60
721,50
722,66
723,61
724,69
725,73
726,33
727,57
728,70
729,45
730,18
731,27
732,20
733,9
734,53
735,43
736,40
737,24
738,20
739,64
740,84
741,56
742,57
743,64
744,42
745,80
746,90
747,48
748,67
749,46
750,9
751,19
752,44
753,13
754,82
755,18
756,3
757,60
758,37
759,66
760,2
761,5
762,96
763,69
764,39
765,31
766,60
767,88
768,59
769,71
770,86
771,95
772,53
773,84
774,50
775,14
776,71
777,92
778,17
779,33
780,71
781,21
782,95
783,50
784,74
785,28
786,24
787,44
788,53
789,83
790,70
791,53
792,63
793,20
794,81
795,75
796,55
797,29
798,28
799,9
800,91
801,93
802,37
803,61
804,99
805,95
806,57
807,14
808,48
809,45
810,14
811,51
812,86
813,28
814,42
815,32
816,67
817,3
818,100
819,94
820,96
821,51
822,23
823,84
824,22
825,77
826,43
827,82
828,75
829,29
830,56
831,89
832,22
833,32
834,95
835,52
836,70
837,29
838,14
839,38
840,61
841,22
842,4
843,56
844,12
845,51
846,98
847,94
848,4
849,86
850,96
851,45
852,11
853,44
854,52
855,5
856,50
857,6
858,40
859,45
860,58
861,25
862,51
863,57
864,87
865,30
866,71
867,92
868,82
869,86
870,13
871,87
872,36
873,83
874,29
875,86
876,23
877,89
878,12
879,14
880,23
881,86
882,95
883,22
884,65
885,68
886,37
887,83
888,42
889,1
890,78
891,57
892,93
893,1
894,15
895,16
896,26
897,50
898,12
899,6
900,57
901,41
902,69
903,75
904,20
905,86
906,76
907,15
908,41
909,63
910,93
911,49
912,99
913,68
914,94
915,17
916,83
917,91
918,36
919,89
920,33
921,45
922,39
923,28
924,63
925,59
926,9
927,25
928,85
929,97
930,8
931,26
932,40
933,59
934,3
935,14
936,97
937,50
938,58
939,85
940,89
941,45
942,14
943,84
944,67
945,45
946,65
947,16
948,40
949,54
950,97
951,63
952,9
953,87
954,58
955,73
956,10
957,38
958,100
959,70
960,14
961,39
962,16
963,64
964,14
965,44
966,54
967,51
968,33
969,89
970,10
971,84
972,62
973,23
974,73
975,28
976,17
977,74
978,31
979,54
980,29
981,83
982,69
983,5
984,36
985,22
986,100
987,70
988,11
989,43
990,25
991,70
992,44
993,83
994,6
995,72
996,75
997,86
998,4
999,2
1000,20
1001,99
1002,6
1003,44
1004,92
1005,83
1006,11
