Replicate,Sample Mean
Replicate_1,1.703796991591876
Replicate_2,1.9480927957971652
Replicate_3,2.0006328723688402
Replicate_4,1.9307889122866728
Replicate_5,1.6935370538578067
Replicate_6,1.6202700211212346
Replicate_7,1.4788713423872053
Replicate_8,1.8864618687338088
Replicate_9,1.6320778608066977
Replicate_10,2.0120359889060717
Replicate_11,1.7989876791832646
Replicate_12,1.7239595980468991
Replicate_13,2.0632672372509897
Replicate_14,1.9267909366499447
Replicate_15,1.7426487983053986
Replicate_16,1.7279422427880025
Replicate_17,1.6150511838515433
Replicate_18,1.8199520305757204
Replicate_19,1.5487097137268462
Replicate_20,1.7308907393555077
Replicate_21,1.67798116038239
Replicate_22,1.735422124763989
Replicate_23,1.6381614667164726
Replicate_24,1.6967076837711554
Replicate_25,1.6663763962433848
Replicate_26,1.8731175259685793
Replicate_27,1.6794899352796082
Replicate_28,1.6860908394994345
Replicate_29,1.6511007007582714
Replicate_30,2.0064891838713548
Replicate_31,1.6567069810634882
Replicate_32,1.794602293096658
Replicate_33,1.483751376732771
Replicate_34,1.691485228811122
Replicate_35,1.4475595802719976
Replicate_36,1.6416406279895392
Replicate_37,1.7198103314401902
Replicate_38,1.6755620853193642
Replicate_39,1.9220182374183172
Replicate_40,1.7772875227281957
Replicate_41,1.8240135572930323
Replicate_42,1.769630216300118
Replicate_43,1.6563536578626068
Replicate_44,1.8392509133743793
Replicate_45,1.7903774249208986
Replicate_46,3.715501769469627
Replicate_47,1.6646222699103164
Replicate_48,1.7974647684075402
Replicate_49,1.6421020786181457
Replicate_50,1.6080393770378842
Replicate_51,1.7930170336820592
Replicate_52,1.8012816748402718
Replicate_53,1.795639474044829
Replicate_54,1.6640968309492947
Replicate_55,1.7545513310488476
Replicate_56,1.7808974682216183
Replicate_57,1.646734153331167
Replicate_58,1.6800886922901395
Replicate_59,1.5832148046356715
Replicate_60,1.6079433375711825
Replicate_61,1.665451768049806
Replicate_62,2.0888257278678295
Replicate_63,1.8151970813929568
Replicate_64,1.662442415128867
Replicate_65,2.163735412769198
Replicate_66,1.609247068358824
Replicate_67,1.6416877026458203
Replicate_68,1.7475735834073864
Replicate_69,1.923635451868519
Replicate_70,1.8480118995077952
Replicate_71,1.8003078770898358
Replicate_72,1.6544297844672926
Replicate_73,1.9089084874362836
Replicate_74,1.7202051932329068
Replicate_75,2.292424755878764
Replicate_76,1.5514624241621464
Replicate_77,1.7280365880644137
Replicate_78,1.6770768110117897
Replicate_79,1.6905224059956319
Replicate_80,1.700603097071125
Replicate_81,2.0913195575681325
Replicate_82,1.6306552212479446
Replicate_83,1.9408321537229154
Replicate_84,2.2236646049976914
Replicate_85,1.5484893183294275
Replicate_86,1.858058845718204
Replicate_87,1.6693888692195824
Replicate_88,1.5506921897803585
Replicate_89,1.5378063485449056
Replicate_90,1.8033987393510202
Replicate_91,1.8311263744176713
Replicate_92,1.6893634545547713
Replicate_93,2.027396544307131
Replicate_94,1.6173026179974423
Replicate_95,1.6802875362740801
Replicate_96,1.9005533561715966
Replicate_97,1.7996975392702117
Replicate_98,1.7120865775191034
Replicate_99,1.8145706328512572
Replicate_100,1.8222073090864856
